"data","valor","serie","tag","grupo"
2019-03-01,14480,7415,"bndes_desembolsos","atividade"
2019-04-01,17387,7415,"bndes_desembolsos","atividade"
2019-05-01,21443,7415,"bndes_desembolsos","atividade"
2019-06-01,25177,7415,"bndes_desembolsos","atividade"
2019-07-01,28921,7415,"bndes_desembolsos","atividade"
2019-08-01,34230,7415,"bndes_desembolsos","atividade"
2019-09-01,38034,7415,"bndes_desembolsos","atividade"
2019-10-01,42587,7415,"bndes_desembolsos","atividade"
2019-11-01,49558,7415,"bndes_desembolsos","atividade"
2019-12-01,55314,7415,"bndes_desembolsos","atividade"
2020-01-01,2302,7415,"bndes_desembolsos","atividade"
2020-02-01,5187,7415,"bndes_desembolsos","atividade"
2020-03-01,8378,7415,"bndes_desembolsos","atividade"
2020-04-01,13645,7415,"bndes_desembolsos","atividade"
2020-05-01,19196,7415,"bndes_desembolsos","atividade"
2020-06-01,26024,7415,"bndes_desembolsos","atividade"
2020-07-01,32356,7415,"bndes_desembolsos","atividade"
2020-08-01,40120,7415,"bndes_desembolsos","atividade"
2020-09-01,45335,7415,"bndes_desembolsos","atividade"
2020-10-01,50995,7415,"bndes_desembolsos","atividade"
2020-11-01,56038,7415,"bndes_desembolsos","atividade"
2020-12-01,64921,7415,"bndes_desembolsos","atividade"
2021-01-01,2882,7415,"bndes_desembolsos","atividade"
2021-02-01,6264,7415,"bndes_desembolsos","atividade"
2021-03-01,11330,7415,"bndes_desembolsos","atividade"
2021-04-01,15284,7415,"bndes_desembolsos","atividade"
2021-05-01,19340,7415,"bndes_desembolsos","atividade"
2021-06-01,23903,7415,"bndes_desembolsos","atividade"
2021-07-01,29443,7415,"bndes_desembolsos","atividade"
2021-08-01,37528,7415,"bndes_desembolsos","atividade"
2021-09-01,45732,7415,"bndes_desembolsos","atividade"
2021-10-01,52338,7415,"bndes_desembolsos","atividade"
2021-11-01,58525,7415,"bndes_desembolsos","atividade"
2021-12-01,64302,7415,"bndes_desembolsos","atividade"
2022-01-01,3502,7415,"bndes_desembolsos","atividade"
2022-02-01,8890,7415,"bndes_desembolsos","atividade"
2022-03-01,14787,7415,"bndes_desembolsos","atividade"
2022-04-01,19745,7415,"bndes_desembolsos","atividade"
2022-05-01,27043,7415,"bndes_desembolsos","atividade"
2022-06-01,33446,7415,"bndes_desembolsos","atividade"
2022-07-01,38458,7415,"bndes_desembolsos","atividade"
2022-08-01,53872,7415,"bndes_desembolsos","atividade"
2022-09-01,62887,7415,"bndes_desembolsos","atividade"
2022-10-01,73553,7415,"bndes_desembolsos","atividade"
2022-11-01,83888,7415,"bndes_desembolsos","atividade"
2022-12-01,97521,7415,"bndes_desembolsos","atividade"
2023-01-01,5846,7415,"bndes_desembolsos","atividade"
2023-02-01,10363,7415,"bndes_desembolsos","atividade"
2023-03-01,19090,7415,"bndes_desembolsos","atividade"
2023-04-01,25653,7415,"bndes_desembolsos","atividade"
2023-05-01,30823,7415,"bndes_desembolsos","atividade"
2023-06-01,40617,7415,"bndes_desembolsos","atividade"
2023-07-01,50200,7415,"bndes_desembolsos","atividade"
2023-08-01,62925,7415,"bndes_desembolsos","atividade"
2023-09-01,75380,7415,"bndes_desembolsos","atividade"
2023-10-01,92372,7415,"bndes_desembolsos","atividade"
2023-11-01,101896,7415,"bndes_desembolsos","atividade"
2023-12-01,114364,7415,"bndes_desembolsos","atividade"
2024-01-01,7878,7415,"bndes_desembolsos","atividade"
2024-02-01,13269,7415,"bndes_desembolsos","atividade"
2024-03-01,23310,7415,"bndes_desembolsos","atividade"
2024-04-01,31368,7415,"bndes_desembolsos","atividade"
2024-05-01,39210,7415,"bndes_desembolsos","atividade"
2024-06-01,49298,7415,"bndes_desembolsos","atividade"
2024-07-01,60232,7415,"bndes_desembolsos","atividade"
2024-08-01,75580,7415,"bndes_desembolsos","atividade"
2024-09-01,87026,7415,"bndes_desembolsos","atividade"
2024-10-01,102603,7415,"bndes_desembolsos","atividade"
